teamname,curr_roster,old_rosters
ALLINNERS,"['kumao', 'weaver', 'demente', 'noni', 'arspower']","[['weaver', 'noni', 'areokk', 'demente', 'kumao'], ['rinn', 'weaver', 'noni', 'areokk', 'demente']]"
Alter Ego,[],"[['bntet', 'freeman', 'aidkit'], ['bntet', 'freeman', 'dobu', 'aidkit', 'xign'], ['xign', 'bntet', 'freeman', 'aidkit'], ['bntet', 'freeman', 'wasteofammo', 'aidkit', 'xign']]"
Alter Iron,"['arias', 'talen', 'misha', 'flow', 'clipzera']","[['arias', 'misha', 'talen', 'lambchoppington']]"
ALTERNATE aTTaX,"['arrow', 'freeze', 'hyped', 'perx', 'prosus']","[['fog', 'askan', 'hayanh', 'onelion', 'cl34v3rs'], ['freeze', 'awzek', 'perx', 'hyped', 'arrow'], ['freeze', 'faven', 'perx', 'hyped', 'arrow'], ['freeze', 'awzek', 'rulz', 'perx', 'arrow']]"
AMKAL,"['artfr0st', 'sstinix', 'kalash', 'sfade8', 'aw']","[['aw', 'sfade8', 'kalash', 'molodoy', 'sstinix'], ['nota', 'topo', 'travis', 'forester', 'krad'], ['aw', 'sfade8', 'kalash', 'sstinix', 'tommy'], ['aw', 'sstinix', 'sfade8', 'kalash'], ['aw', 'sfade8', 'kalash', 'molodoy', 'forester'], ['sm3t', 'aw', 'sfade8', 'kalash', 'molodoy']]"
Amped,"['aj', 'coley', 'bones', 'snufaffu', 'wilson']",[]
Amped Red,"['sethp', 'kennyt', 'bankey21', 'daniels', 'sc0rch']",[]
América,"['proshow', 'reix', 'antonini', 'thuister', 'nikz']",[]
Anonymo,"['chudy', 'darchevile', 'enzo', 'michat', 'nami']","[['darchevile', 'enzo', 'chudy', 'nami'], ['melavi', 'chudy', 'nami', 'darchevile', 'enzo'], ['yvro', 'chudy', 'nami', 'darchevile', 'enzo'], ['ex1st', 'chudy', 'nami', 'darchevile', 'enzo'], ['darchevile', 'yvro', 'chudy', 'nami'], ['yvro', 'melavi', 'chudy', 'nami', 'darchevile'], ['darchevile', 'enzo', 'nami'], ['ex1st', 'nami', 'darchevile', 'morelz', 'enzo'], ['chudy', 'nami', 'darchevile', 'morelz', 'enzo']]"
anything else,"['slash', 'k4mr0', 'cypress', 'fame', 'mcniff']",[]
