teamname,mapped_name
ex-GR,ex-GR
GR Gaming,ex-GR
Grannys Knockers,Grannys Knockers
GTZ,GTZ
ex-Guild Eagles,ex-Guild Eagles
GUN5,GUN5
GUN5 Esports,GUN5
harizma,harizma
HAVU,HAVU
Hawks,Hawks
Heimo,ex-Heimo
ex-Heimo,ex-Heimo
HEROIC,HEROIC
HEROIC Academy,HEROIC Academy
Hesta,Hesta
Homyno,Homyno
Honvéd,Honvéd
HOTU,HOTU
Housebets,Housebets
HSG fe,HSG fe
Hungary,Hungary
The Huns,The Huns
Hype,Hype
Hype E-Sports,Hype
HyperSpirit,HyperSpirit
hypewrld,hypewrld
Iberian Soul,Iberian Soul
IHC,IHC
Illuminar,Illuminar
Illuminar Gaming,Illuminar
Immigrants peek,Immigrants peek
Imp Pact fe,Imp Pact fe
Imperial,Imperial
Imperial fe,Imperial Valkyries
Imperial Female,Imperial Valkyries
Imperial Sportsbet,Imperial
Imperial Valkyries,Imperial Valkyries
InControl,InControl
INFINITE,INFINITE
Infinity,Infinity
INFURITY,INFURITY
Inner Circle,Inner Circle
inputprayers,inputprayers
inSanitY,inSanitY
inSanitY fe,inSanitY fe
inSanitY Sports,inSanitY
Insilio,Insilio
Insomnia,Insomnia
Intense,Intense
Intense Game,Intense
Into The Breach,Into the Breach
Into the Breach,Into the Breach
jahsdnmasjdm,jahsdnmasjdm
JANO,JANO
JANO Esports,JANO
JiJieHao,JiJieHao
JOGA DE TERNO,JOGA DE TERNO
Johnny Speeds,Johnny Speeds
Jordan,Jordan
Just Swing,Just Swing
Justice For Tomorrow,Justice For Tomorrow
K27,K27
K27 fe,K27 fe
Kappa Bar,Kappa Bar
Kario Mart,Kario Mart
Kazakhstan,Kazakhstan
Kinship,Kinship
Kitsune,Kitsune
KOI,Iberian Soul
KOMNATA,KOMNATA
kONO,kONO
Kosovo,Kosovo
Kronjyllands,Kronjyllands
KRÜ,KRÜ
KRÜ Esports,KRÜ
Kubix,Kubix
KZG,KZG
L&G,L&G
LA MASIA,LA MASIA
LaChampionsLiga,LaChampionsLiga
LAG,LAG
LAG Gaming,LAG
lajtbitexe,lajtbitexe
The Last Resort,The Last Resort
Latvia,Latvia
Lazer Cats,Lazer Cats
Legacy,Legacy
Leo,Leo
LEON,LEON
Let Her Cook,Let Her Cook
Lewandownskie,Lewandownskie
Leça,Leça
LFO 2,LFO 2
LFO 3,LFO 3
LFO 4,LFO 4
Lilmix,Lilmix
Limitless,Limitless
Liquid,Liquid
Team Liquid,Liquid
Lithuanian Wolves,Lithuanian Wolves
LOBOARMY,LOBOARMY
Lore,Lore
los kogutos,los kogutos
Lotus fe,Lotus fe
Lumen fe,Lumen fe
Lynn Vision,Lynn Vision
Lynn Vision Gaming,Lynn Vision
M1,M1
M1Z,M1Z
M80,M80
Maestro,Maestro
MAGICOS,MAGICOS
Make Your Mind,Make Your Mind
MANTRA,MANTRA
Marca Registrada,Marca Registrada
Marsborne,Marsborne
MASONIC,MASONIC
MCS,MCS
MEGA JUNERS,MEGA JUNERS
megoshort,megoshort
Mercenaires,Mercenaires
Messitas,Messitas
Meteor,Meteor
Metizport,Metizport
Metizport X,Metizport X
MIBR,MIBR
MIBR Academy,MIBR Academy
MIBR fe,MIBR fe
MIGHT,MIGHT
Mindfreak,Mindfreak
MINLATE,MINLATE
Mission Possible,Mission Possible
modeame,modeame
Molotov,Molotov
Moneyball,Moneyball
moneyF,moneyF
The MongolZ,The MongolZ
Monte,Monte
Monte Gen,Monte Gen
Mousquetaires,Mousquetaires
MOUZ,MOUZ
MOUZ NXT,MOUZ NXT
Movistar KOI,Iberian Soul
Mythic,Mythic
Natus Vincere,Natus Vincere
Natus Vincere Junior,NAVI Junior
NAVI Javelins,NAVI Javelins
NAVI Junior,NAVI Junior
Nemiga,Nemiga
Nemiga Gaming,Nemiga
NEVERMORE,NEVERMORE
NewBALLS,V1dar
Nexus,Nexus
Nexus Gaming,Nexus
NinJa,NinJa
Ninjas in Pyjamas,Ninjas in Pyjamas
Niory,Niory
NIP Impact,NIP Impact
NITRO,NITRO
NOM,NOM
NomadS,NomadS
nomercy fe,nomercy fe
Nordix,Nordix
Norway,Norway
Nostalgia,Nostalgia
Nouns,Nouns
Nouns Esports,Nouns
Nouns fe,Nouns fe
Novaq,NOVAQ
NOVAQ,NOVAQ
NRG,NRG
Nuclear TigeRES,Nuclear TigeRES
Nyx Empyre,Nyx Empyre
O PLANO,O PLANO
ODDIK,ODDIK
OG,OG
ONi,ONi
Only One Word,Only One Word
Onyx Ravens,Onyx Ravens
paiN,paiN
paiN Academy,paiN Academy
paiN Gaming,paiN
panelinha,panelinha
PARIVISION,PARIVISION
Partizan,Partizan
PARTIZAN,PARTIZAN
Partizan Esports,Partizan
Party Astronauts,Party Astronauts
Passion UA,Passion UA
Patins da Ferrari,Patins da Ferrari
PCIFIC,PCIFIC
PEAK fe,PEAK fe
PeeP,PeeP
PEGADA,PEGADA
Penance,Penance
ex-PERA,Qiang
ex-Pera Esports,Qiang
Permitta,ex-Permitta
ex-Permitta,ex-Permitta
Permitta Esports,ex-Permitta
Permitta W,Permitta W
PERPLEXITY,PERPLEXITY
ex-Perseverance Gaming,ex-Perseverance Gaming
Phoenix,Phoenix
Players,Players
PLUSH,PLUSH
Poland fe,Poland fe
Portugal,Portugal
PORTUGAL,PORTUGAL
Portuguese Family,Portuguese Family
POWERmix,POWERmix
Prasso,Prasso
Preasy,Preasy
ex-Preasy,ex-Preasy
Priority,Priority
Prototype Blaze,Prototype Blaze
Punishers,Punishers
Qiang,Qiang
QMISTRY,QMISTRY
QUAZAR,QUAZAR
The QUBE,The QUBE
Quem Sao Elas,Quem Sao Elas
RAGE,RAGE
Rare Atom,Rare Atom
Real Original,Real Original
Rebels,Rebels
Rebels Gaming,Rebels
RED Canids,RED Canids
RED Canids Academy,RED Canids Academy
regain,regain
regnum4games,regnum4games
Reveal,Reveal
Revel,Revel
Revenant,Revenant
Revenge,Revenge
Revenge Nation,Revenge Nation
Reverse Sweep,Reverse Sweep
RG-QingQiu Esports,RG-QingQiu Esports
Rhyno,Rhyno
Roler Coaster,Roler Coaster
Rooster,Rooster
ROYALS,ROYALS
RUBY,RUBY
RUSH B,RUSH B
RUSTEC,RUSTEC
SABRE,SABRE
Sampi,Sampi
Sangal,Sangal
Sangal Esports,Sangal
Sashi,Sashi
Sashi Esport,Sashi
SAW,SAW
ScarX,ScarX
Secret,Secret
SemperFi,SemperFi
SemperFi Esports,SemperFi
SENSEI,SENSEI
seoul,seoul
Serbia,Serbia
SGGT,SGGT
Sharks,Sharks
Sharks Youngsters,Sharks Youngsters
Shika,Shika
Shimmer,Shimmer
ShindeN,ShindeN
SHPL,SHPL
SINNERS,SINNERS
SINNERS Academy,SINNERS Academy
SINNERS Esports,SINNERS
Skinvault,Skinvault
SkyFury,SkyFury
Smoke,Smoke
Solid,Solid
Team Solid,Solid
Souls Heart,Souls Heart
SovvyKiNG,SovvyKiNG
Space,Space
Team Space,Space
SPARTA,SPARTA
Spirit,Spirit
Team Spirit,Spirit
Team Spirit Academy,Spirit Academy
Spirit Academy,Spirit Academy
Spirit fe,Spirit fe
SPORT,SPORT
Spray and Slay,Spray and Slay
Spray Jutsu,Spray Jutsu
st4rboys,st4rboys
Steel Helmet,Steel Helmet
Straight2Killin,Straight2Killin
sunday school,sunday school
SUPER EVIL GANG,SUPER EVIL GANG
Superfkrs,Superfkrs
Supernova Comets,Supernova Comets
The Suspect,The Suspect
Swingers,Swingers
System5,System5
Take Flyte,Take Flyte
Take Flyte Kings,Take Flyte Kings
TALON,ex-TALON
ex-TALON,ex-TALON
Teamwork,Teamwork
TGM,TGM
THE,THE
thekillaz fe,thekillaz fe
timbermen,timbermen
TNL,TNL
Tricked,Tricked
Tropa do KinGui,Tropa do KinGui
Tropa do Taco,Tropa do VSM
Tropa do VSM,Tropa do VSM
True Rippers,True Rippers
TSM,TSM
TSM Impact,TSM Impact
TSM Shimmer,TSM Shimmer
Tsunami,Tsunami
Tunisia,Tunisia
Turkey,Turkey
Twenty Seven,Twenty Seven
TYLOO,TYLOO
ex-UHKA,ex-UHKA
undefined,undefined
Underground,Underground
undeRRRated,undeRRRated
Undone,Undone
UNiTY,UNiTY
UNiTY esports,UNiTY
UNO MILLE,UNO MILLE
UNPAID,UNPAID
Unsettled Resentment,Unsettled Resentment
UR,UR
USA,USA
USA fe,USA fe
V1dar,V1dar
vagrants,vagrants
Vagrants,vagrants
Vantage,Vantage
Vantage Esports,Vantage
VELOX,VELOX
Venom,Venom
Verdant,Verdant
VexX,VexX
Victores Sumus,Victores Sumus
ex-Vikings,ex-Vikings
Vikings KR,ex-Vikings
Viperio,Viperio
Virtual Cottage,Virtual Cottage
Virtus.pro,Virtus.pro
Vitality,Vitality
Team Vitality,Vitality
Volt,Volt
VP.Prodigy,VP.Prodigy
W7M,ex-W7M
ex-W7M,ex-W7M
w7m esports,ex-W7M
Wanted Goons,Wanted Goons
Wave,Wave
WDNMD,WDNMD
WiLD,WiLD
Wildcard,Wildcard
Wildcard Academy,Wildcard Academy
Wildcard Gaming,Wildcard
WildLotus,WildLotus
WOPA,WOPA
Worms,Worms
Wu-Tang,Wu-Tang
WW,WW
XDM,XDM
XI,XI
XNL,XNL
XPERION NXT,XPERION NXT
Yawara,Yawara
YNG Sharks,Sharks
Young Ninjas,Young Ninjas
Zerance,Zerance
Zero Tenacity,Zero Tenacity
Þór,Þór
