teamname,mapped_name
ex-Guild Eagles,ex-Guild Eagles
ex-PERA,ex-PERA
ex-Pera Esports,ex-PERA
ex-Perseverance Gaming,ex-Perseverance Gaming
ex-Preasy,ex-Preasy
fnatic,Fnatic
inSanitY,inSanitY
inSanitY Sports,inSanitY
kONO,kONO
paiN,paiN
paiN Gaming,paiN
panelinha,panelinha
regain,regain
sunday school,sunday school
undefined,undefined
w7m esports,W7M

